Title,Location,Description,Date,Contract Type
Secrétaire de Direction (Constantine),"Constantine, Algérie",SPI SOPHIA GROUPE SOCIETE DE PRODUITS INSECTICIDES recrute une Secrétaire de Direction pour participer à l'élaboration des stratégies commerciales...,26 août 2024,indifférent
Directeur Contrôle de Gestion (Alger),"Kouba, Alger, Algérie",EMPLOI PARTNER recrute pour le compte d'un client un Directeur Contrôle de Gestion pour l'élaboration et suivi des budgets...,26 août 2024,indifférent
Chargé Recouvrement (Alger),"Alger, Algérie",Société privée recrute un Chargé de Recouvrement pour gérer les dossiers de clients n’ayant pas respecté les délais de paiement...,26 août 2024,CDD
Technicien (Alger),"Alger, Algérie",CTTP recrute un Technicien pour effectuer des tâches techniques variées…,26 août 2024,CDD
Directeur Contrôle de Gestion (Blida),"Blida, Algérie",Huntead recrute un Directeur Contrôle de Gestion pour l'élaboration et suivi des budgets...,26 août 2024,CDI
Directeur Contrôle de Gestion (Blida),"Blida, Algérie",Société Privée recrute un Directeur Contrôle de Gestion pour l'élaboration et le suivi des budgets....,26 août 2024,CDI
Chauffeur Démarcheur (Alger),"Alger, Algérie",Société Privée recrute un Chauffeur Démarcheur pour assurer la livraison des courriers aux adresses indiquées et aux services postaux...,26 août 2024,CDD
Chauffeur Léger (Alger),"Alger, Algérie",Société privée recrute un Chauffeur Léger afin de renforcer son équipes...,26 août 2024,CDD
Chargé de Facturation (Alger),"Alger, Algérie",Société privée recrute un Chargé de Facturation pour gérer la facturation des clients et des fournisseurs...,26 août 2024,CDI
Superviseur de Production (Chef d'E ... (Oran),"Oran, Algérie","Talent Connected recrute pour son client, une société pharmaceutique, sise à Oran des superviseurs de production...",26 août 2024,CDI
Conducteur Bulldozer (Alger),"Alger, Algérie","SARL INFRARAIL - FILIALE SNTF recrute un Conducteur Bulldozer pour respecter les consignes de sécurité, assurer la sécurité des autres travailleurs...",26 août 2024,indifférent
Pré Vendeur (Relizane),"Relizane, Relizane, Algérie",SARL Starouate recrute un Pré Vendeur pour la prospection de nouveau clients...,26 août 2024,CDD
Ingénieur Qualité (Alger),"Alger, Algérie",Société Publique recrute Ingénieur Qualité pour assurer l’interface entre les correspondants QHSE des projets...,26 août 2024,indifférent
Chef de Service Commercial (Alger),"Alger, Algérie",Agence Nationale des Ressources Hydrauliques (ANRH) recrute un Chef de Service Commercial pour créer et assurer la présentation commerciale...,26 août 2024,CDI
Ingénieur en Mécanique (Sétif),"Sétif, Algérie",FRAIM INTERNATIONAL recrute un Ingénieur en Mécanique pour assurer la modélisation numérique des pièces à produire...,26 août 2024,indifférent
Technico Commercial Hydraulique (Sétif),"Sétif, Algérie",FRAIM INTERNATIONAL recrute un Technico Commercial Hydraulique pour conseiller et proposer des solutions techniques en matière de produits hydrauliques...,26 août 2024,indifférent
Ingénieur en Génie Mécanique (Mostaganem),"Aïn Sidi Cherif, Mostaganem, Algérie","Mik Algérie recrute un Ingénieur en Génie Mécanique pour planifier, superviser et analyser les essais de prototypes...",26 août 2024,indifférent
Gestionnaire Marketplace (Alger),"Dar El Beïda, Alger, Algérie",SARL SATMIA recrute un Gestionnaire Marketplace pour créer et optimiser les fiches produits...,26 août 2024,indifférent
TS Electromécanicien (Alger),"Alger, Algérie",Société Privée recrute un TS Electromécanicien pour élaborer un plan d'actions…,26 août 2024,indifférent
Graphiste Infographe (Alger),"Draria, Alger, Algérie",MGC PUB recrute un Graphiste Infographe pour l'opération sur Machine Numérique...,26 août 2024,indifférent
Commercial (Centre),"Alger, Algérie",SOLARIS COSMETIQUE recrute un Commercial pour assurer le suivi et la satisfaction des clients existants...,26 août 2024,indifférent
Commercial (Ouest),"Oran, Algérie",SOLARIS COSMETIQUE recrute un Commercial pour assurer le suivi et la satisfaction des clients existants...,26 août 2024,indifférent
Stagiaire Community Manager (Blida),"Blida, Algérie","SOLARIS COSMETIQUE recrute un(e) Stagiaire Community Manager pour contribuer à la réalisation de visuels, textes et vidéos...",26 août 2024,indifférent
Ingénieur d'Etat Informatique (DEV) ... (Alger),"Bab Ezzouar, Alger, Algérie","Importante Entreprise recrute un Ingénieur d'Etat Informatique (DEV) pour concevoir, développer et tester les solutions logicielles conformément à la procédure de développement...",26 août 2024,CDI
Commercial (Est),"Alger, Algérie",SOLARIS COSMETIQUE recrute un Commercial pour assurer le suivi et la satisfaction des clients existants...,26 août 2024,indifférent
Secrétaire (Blida),"Boufarik, Blida, Algérie","SARL MOUNIF PROCALL recrute une Secrétaire pour accueillir les visiteurs, gérer les appels et courriers...",26 août 2024,indifférent
Gérant Agence de voyage (Alger),"Birtouta, Alger, Algérie","SARL MOUNIF PROCALL recrute un Gérant Agence de voyage pour recruter, former, et encadrer le personnel de l'agence...",26 août 2024,indifférent
Chargé Clientèle Commercial (Alger),"Draria, Alger, Algérie",MGC PUB recrute un Chargé(e) Clientèle Commercial(e) pour l'élaboration des e-mails et du courrier...,25 août 2024,indifférent
Responsable Moyens Généraux (Oran),"Hassi Bounif, Oran, Algérie","Orion LAB recrute un Responsable Moyens Généraux pour l'élaboration et suivi du budget, optimisation des coûts...",25 août 2024,indifférent
Chargé(e) /Responsable de la Valida ... (Annaba),"Annaba, Annaba, Algérie",ONYX PHARMACEUTIQUE recrute Un(e) Chargé(e)/Responsable de la Validation des Méthodes Analytiques pour la validation des méthodes analytiques...,25 août 2024,indifférent
Film Maker (Alger),"Dely Ibrahim, Alger, Algérie",Skin Clinic recrute un Film Maker pour gérer la production de contenu audiovisuel...,25 août 2024,indifférent
Assistante Administrative (Alger),"Alger, Algérie",Skin Clinic recrute une Assistante Administrative pour la commande et gestion des fournitures de bureau...,25 août 2024,indifférent
Chargé Marketing (Bordj Bou Arreridj),"Bordj Bou Arreridj, Algérie",Laboratoires Ines Cosmetics recrute un Chargé Marketing pour organiser et coordonner des événements promotionnels et des salons...,25 août 2024,indifférent
Superviseur (Bordj Bou Arreridj),"Bordj Bou Arreridj, Algérie",Laboratoires Ines Cosmetics recrute un Superviseur pour évaluer et suivre les performances des employés...,25 août 2024,indifférent
Commercial (Bordj Bou Arreridj),"Bordj Bou Arreridj, Algérie",Laboratoires Ines Cosmetics recrute un Commercial pour présenter et négocier les produits/services...,25 août 2024,indifférent
Account Manager (Alger),"Birkhadem, Alger, Algérie",MN Agency recrute un Account Manager pour le suivi des bases de données clients...,25 août 2024,indifférent
Spécialiste Senior Planning & Geoma ... (Alger),"Ouled Fayet, Alger, Algérie",WATANIYA TELECOM ALGERIE - OOREDOO - recrute un Spécialiste Senior Planning & Geomarketing pour produire une cartographie numérisée...,22 août 2024,CDI
Digital Development Expert (Alger),"Ouled Fayet, Alger, Algérie",WATANIYA TELECOM ALGERIE - OOREDOO - recrute un Digital Development Expert...,22 août 2024,CDI
Manager Superviseur Suivi Audit et ... (Alger),"Bab Ezzouar, Alger, Algérie",ATM Mobilis EPE-SPA recrute un Manager Superviseur Suivi Audit et Reporting pour constituer les dossiers de suivi d'audit...,22 août 2024,CDI
