ID,Title,Description,Price,Created At,City
27300754,Développeur Front-end,"Company Introduction

Ouedkniss the leading Website in Algeria and north africa, with millions users that on our platform, we need the best minds to help us deliver better solutions. In order to do even bigger things, we need people in our team that are passionate and great at what they’re doing. We’re looking for a developers who would help us build and improve our company.

Job Description

We are looking for a JavaScript developer who is skilled with Vue.js. Your primary focus will be developing user-facing web applications and components. You’ll implement them with the Vue.js framework, following generally accepted practices and workflows. You will ensure that you produce robust, secure, modular, and maintainable code. You will coordinate with other team members, including back-end developers. Your commitment to team collaboration, perfect communication, and a quality product is crucial.

Responsibilities

    Developing user-facing applications using Vue.js
    Building modular and reusable components and libraries
    Optimizing applications for performance
    Implementing automated testing integrated into development and maintenance workflows
    Staying up-to-date with all recent developments in the JavaScript and Vue.js space
    Keeping an eye on security updates and issues found with Vue.js and all project dependencies
    Proposing any upgrades and updates necessary for keeping up with modern security and development best practices
    Participating in UX Design
    Participating in API Design

Skills

    Highly proficient with the JavaScript language and its modern ES6+ syntax and features
    Knowledge with Vue.js framework and its core principles such as components, reactivity, and the virtual DOM
    Familiarity with the Vue.js ecosystem, including Vue CLI, Vuex, Vue Router, and 
    Good understanding of HTML5 and CSS3, including Sass/Less.
    Understanding of server-side rendering and its benefits and use cases
    Knowledge of functional programming and object-oriented programming paradigms
    Ability to write efficient, secure, well-documented, and clean JavaScript code
    Familiarity with automated JavaScript testing.
    Proficiency with modern development tools and code versionning.
    Experience with both consuming and designing RESTful APIs, knowledge of GraphQL Apis is an advantage. 


We value attitude, adaptability and aptitude over experience, if you do not have the experience outlined but think you can do this role tell us why you should be considered in your application.


If you correspond to the required profile, please contact us via our email address:
"""",  mention in the subject line: "" Front-end web developer""
",,2021-09-26T15:34:24.000000Z,Kouba
19743040,Full stack web developer,"At  we are looking for talented & bright back & front end developers, as full-time job.
For back-end, you will be responsible for managing the interchange of data between the servers and end-users. Your primary focus will be developing server-side logic, definition and maintenance of our services, and ensuring high performance and responsiveness to requests from the front-end.
Responsibilities:
- Participate in and contribute to technology, architecture, workflow, and design decisions
- Design and construction of APIs
- Set-up efficient and high performing database queries for relational and non-relational databases.
- Building secure and reusable code
- Design and implementation of data storage solutions
Skills And Qualifications:
- Experience with designing RESTful & GraphQL Apis.
- Experience with a back-end programming language PHP/Laravel, nodeJs.
- Proficient at analyzing, decomposing, and solving problems
- Integration of multiple data sources and databases into one system
******************************
For front-end, we are looking for a JavaScript developer with high skillls in Vue.js. Your primary focus will be developing user-facing web applications and components. You’ll implement them with the Vue.js framework, following generally accepted practices and workflows. You will make sure to produce robust, secure, modular, and maintainable code. You will coordinate with other team members, including back-end developers. Your commitment to team collaboration, perfect communication, and a quality product is crucial.
Responsibilities
- Developing user-facing applications using Vue.js
- Building modular and reusable components and libraries
- Optimizing applications for performance
- Keeping an eye on security updates and issues found with Vue.js and all project dependencies
- Proposing any upgrades and updates necessary for keeping up with modern security and development best practices
- Participating in UX Design
- Participating in API Design
Skills
- Highly proficient with the JavaScript language and its modern ES6+ syntax and features
- Knowledge with Vue.js framework and its core principles such as components, reactivity, and the virtual DOM
- Understanding of server-side rendering and its benefits and use cases
- Knowledge of functional programming and object-oriented programming paradigms
- Ability to write efficient, secure, well-documented, and clean JavaScript code
- Familiarity with automated JavaScript testing.
- Experience with both consuming and designing RESTful APIs, knowledge of GraphQL Apis is an advantage.
We value attitude, adaptability and aptitude over experience, if you do not have the experience outlined but think you can do this role tell us why you should be considered in your application.

If you correspond to the required profile, please contact us via our email address:
"""",  mention in the subject line: "" Full stack web developer"" 
 
",,2021-11-20T15:36:43.000000Z,Kouba
43112709,Maintenance informatique ,"Recrutement :

Cherche pour notre magasin de vente de produits informatique (Tassili Computer) :
Technicien (ne) supérieur en électronique ou maintenance informatique
- Lieu de travail : Dar El Beida
- Veuillez envoyer vos CV par email
Merci",40000.0,2024-08-06T21:52:42.008708Z,Dar el beida
40562054,Informatique ,"البحث عن عامل يكون لديه خبرة في الإعلام الآلي 
A la recherche d'une employé qui maîtrise les base de l'informatique 

",40000.0,2024-04-03T12:10:53.703419Z,Es senia
43298880,Filmmakeur & graphique design,"Nous recherchons quelqu'un de passionné et créatif, avec les compétences suivantes :

Maîtrise des logiciels de montage vidéo (comme Adobe Premiere Pro, Final Cut Pro) et de graphisme (comme Adobe Photoshop, Illustrator).
Expérience dans la production audiovisuelle et la manipulation d'équipements de tournage serait un plus.
Capacité à travailler de manière autonome, tout en étant un membre efficace de l'équipe.
Flexibilité pour s'adapter à différents types de projets et tâches.

Envoyer votre CV par email: 

",,2024-08-15T10:11:25.600465Z,Cheraga
42819316,IT Help desk - Maintenance Hardware/Soft Laptop/PC,"Informatics est à la recherche d'un « ingénieur informaticien » passionné, cultivé et curieux d'expérimenter et de découvrir de nouveaux horizons.


Responsabilités Principales /MISSION/ :

- Diagnostics et réparation matériels, PC de bureau, Laptop...
- Montage PC et ajout des composants....
- installation différent systéme d'exploitation et logiciels...
- Entretien et maintenance.
- Installation des réseaux (internet câble et Wifi).
-Assure la gestion des tickets de demandes d’assistance IT (attribution, priorité, …)
- Assistance technique (Déplacement) pour les clients aussi bien par téléphone et par internet.


Compétences Requises :

Connaissances aux Framework IT.
Bonnes connaissances aux systèmes d’exploitation Windows (7,10,11 …)
Bonnes connaissances aux outils bureautique (Office, Adobe, compression données, …)
Bonnes connaissances aux concepts basique des réseaux informatique (adressage IP, câblage, troubleshooting initial des problèmes réseaux, …)
Motivé, initiateur, avoir une attitude positive
Être capable de travailler sous pression, seul (autonome) et en équipe (esprit collaboratif).
Organisé et capable de gérer les priorités dans un environnement stressant
Maitrise les langues arabe, français et anglais technique
",,2024-07-23T08:36:08.922002Z,Dar el beida
43437503,Développeur Web ,"Nous sommes à la recherche de développeurs web talentueux pour rejoindre notre équipe en tant que freelance.

Responsabilités:

Collaborer avec notre équipe pour comprendre les exigences et objectifs du projet.
Développer des sites web et des applications web selon les conceptions et spécifications fournies.
Assurer la qualité du code, les performances et les normes de sécurité.
Participer aux revues de code et fournir des retours constructifs.
Résoudre les problèmes et déboguer les problèmes au fur et à mesure qu'ils se présentent.
Rester à jour sur les tendances de l'industrie et les technologies émergentes.

Exigences:

Maîtrise des technologies de développement web telles que HTML, CSS, JavaScript et PHP.
Expérience avec des frameworks de développement web populaires (par exemple, React, Angular, Vue.js).
Maîtrise de la langue française, tant à l'écrit qu'à l'oral, pour la communication avec les interlocuteurs étrangers.
Fortes compétences en résolution de problèmes et souci du détail.
Bonnes compétences en communication et capacité à travailler en équipe.
Une expérience antérieure en freelance ou en travail à distance est un plus.

Comment postuler: Si vous êtes intéressé à rejoindre notre équipe en tant que développeur web freelance, veuillez envoyer les documents suivants à :

-	Votre CV mettant en évidence votre expérience et vos compétences pertinentes.

-	Une lettre de motivation courte vous présentant et expliquant pourquoi vous êtes intéressé par ce poste.

Mail : danyramy941@gmail.com
",,2024-08-23T17:11:25.771447Z,Alger centre
42722320,Ingénieur en informatique,"Rejoignez la SARL Compos Solution Informatique, TRAVAIL EN REMOTE, HYBRIDE OU LOCAL. SALAIRE ATTRACTIF, EXPÉRIENCE REQUISE, ENGAGEMENT OBLIGATOIRE !

Notre société, spécialisée dans le développement, l'intégration et l'implémentation de solutions informatiques, est à la recherche d'ingénieurs compétents et expérimentés pour renforcer notre équipe. Nous valorisons le talent et l'expérience, et nous recherchons des professionnels avec au moins 2 ans d'expérience justifiée.

Missions :
    Suivi des solutions clients sur tout ou partie de leur cycle de vie
    Développement, analyse, et déploiement de solutions informatiques
    Possibilité d'être engagé pour une mission spécifique ou de changer de poste selon vos compétences et capacités

Compétences requises :
    Maîtrise des langages web tels que HTML, CSS, JavaScript, Python, PHP, etc.
    Solides compétences en développement back-end avec des langages comme Python, Node, etc.
    Connaissance des ERP tels que Dolibarr et Odoo
    Capacité à travailler en équipe et à maintenir un rythme de travail soutenu

Pourquoi nous rejoindre ?
Cette opportunité est votre chance de vous développer et d'apprendre davantage dans un environnement dynamique et innovant. Vous aurez l'occasion de percer dans de nouveaux horizons technologiques et de faire partie d'une équipe passionnée par l'excellence et l'innovation.

Candidature :
Envoyez-nous votre CV et une lettre de motivation expliquant pourquoi vous êtes le candidat idéal pour ce poste

Adresse : 25, Gué de Constantine, ALGER
Email, Téléphone Au-dessous",10.0,2024-07-18T01:35:19.021665Z,Gue de constantine
43433756,IT,"Bon jour
Une entreprise de fabrication et commercialisation des produits cosmétiques cherche un diplômé dans :
1. Informatique:
Un informaticien(ne) maîtrise:
• Maintenance Informatique
• Installation et configuration des systèmes et réseaux informatiques
2. Electronique :
• Installation des systèmes de sécurités
Contact & Coordonnés",,2024-08-23T14:01:31.508451Z,Birkhadem
43387152,Vendeur dans un magasin d informatique ,"Une boutique specialisée dans le domaine d'informatique, les produits de caisse et les logiciels de gestion, recrute un technicien vendeur.
Nous exigeons les critères suivants:
-Experience dans le domaine d'infomatique.
-Maitrise l'outil informatique hard et soft
(Windows ,Photoshop, Réseau, WordPress.
imprimante).
-Expérience dans la réparation ( formatage , installation de Windows, installation d'imprimante, installation de réseau...) veuillez nous envoyer vos curriculum vitae par e-mail merci.
lieux de travail : les castors",,2024-08-20T15:55:00.298713Z,Oran
