ID,Title,Description,Price,Created At,City,Contract Type,Skills,Responsibilities
19743040,Full stack web developer,"At  we are looking for talented & bright back & front end developers, as full-time job.
For back-end, you will be responsible for managing the interchange of data between the servers and end-users. Your primary focus will be developing server-side logic, definition and maintenance of our services, and ensuring high performance and responsiveness to requests from the front-end.
Responsibilities:
- Participate in and contribute to technology, architecture, workflow, and design decisions
- Design and construction of APIs
- Set-up efficient and high performing database queries for relational and non-relational databases.
- Building secure and reusable code
- Design and implementation of data storage solutions
Skills And Qualifications:
- Experience with designing RESTful & GraphQL Apis.
- Experience with a back-end programming language PHP/Laravel, nodeJs.
- Proficient at analyzing, decomposing, and solving problems
- Integration of multiple data sources and databases into one system
******************************
For front-end, we are looking for a JavaScript developer with high skillls in Vue.js. Your primary focus will be developing user-facing web applications and components. You’ll implement them with the Vue.js framework, following generally accepted practices and workflows. You will make sure to produce robust, secure, modular, and maintainable code. You will coordinate with other team members, including back-end developers. Your commitment to team collaboration, perfect communication, and a quality product is crucial.
Responsibilities
- Developing user-facing applications using Vue.js
- Building modular and reusable components and libraries
- Optimizing applications for performance
- Keeping an eye on security updates and issues found with Vue.js and all project dependencies
- Proposing any upgrades and updates necessary for keeping up with modern security and development best practices
- Participating in UX Design
- Participating in API Design
Skills
- Highly proficient with the JavaScript language and its modern ES6+ syntax and features
- Knowledge with Vue.js framework and its core principles such as components, reactivity, and the virtual DOM
- Understanding of server-side rendering and its benefits and use cases
- Knowledge of functional programming and object-oriented programming paradigms
- Ability to write efficient, secure, well-documented, and clean JavaScript code
- Familiarity with automated JavaScript testing.
- Experience with both consuming and designing RESTful APIs, knowledge of GraphQL Apis is an advantage.
We value attitude, adaptability and aptitude over experience, if you do not have the experience outlined but think you can do this role tell us why you should be considered in your application.

If you correspond to the required profile, please contact us via our email address:
"""",  mention in the subject line: "" Full stack web developer"" 
 
",,2021-11-20T15:36:43.000000Z,Kouba,Not specified,"- Experience with designing RESTful & GraphQL Apis., - Experience with a back-end programming language PHP/Laravel, nodeJs., - Proficient at analyzing, decomposing, and solving problems, - Integration of multiple data sources and databases into one system, ******************************, For front-end, we are looking for a JavaScript developer with high skillls in Vue.js. Your primary focus will be developing user-facing web applications and components. You’ll implement them with the Vue.js framework, following generally accepted practices and workflows. You will make sure to produce robust, secure, modular, and maintainable code. You will coordinate with other team members, including back-end developers. Your commitment to team collaboration, perfect communication, and a quality product is crucial., - Highly proficient with the JavaScript language and its modern ES6+ syntax and features, - Knowledge with Vue.js framework and its core principles such as components, reactivity, and the virtual DOM, - Understanding of server-side rendering and its benefits and use cases, - Knowledge of functional programming and object-oriented programming paradigms, - Ability to write efficient, secure, well-documented, and clean JavaScript code, - Familiarity with automated JavaScript testing., - Experience with both consuming and designing RESTful APIs, knowledge of GraphQL Apis is an advantage., We value attitude, adaptability and aptitude over experience, if you do not have the experience outlined but think you can do this role tell us why you should be considered in your application., If you correspond to the required profile, please contact us via our email address:, """",  mention in the subject line: "" Full stack web developer""","- Participate in and contribute to technology, architecture, workflow, and design decisions, - Design and construction of APIs, - Set-up efficient and high performing database queries for relational and non-relational databases., - Building secure and reusable code, - Design and implementation of data storage solutions, - Developing user-facing applications using Vue.js, - Building modular and reusable components and libraries, - Optimizing applications for performance, - Keeping an eye on security updates and issues found with Vue.js and all project dependencies, - Proposing any upgrades and updates necessary for keeping up with modern security and development best practices, - Participating in UX Design, - Participating in API Design"
27300754,Développeur Front-end,"Company Introduction

Ouedkniss the leading Website in Algeria and north africa, with millions users that on our platform, we need the best minds to help us deliver better solutions. In order to do even bigger things, we need people in our team that are passionate and great at what they’re doing. We’re looking for a developers who would help us build and improve our company.

Job Description

We are looking for a JavaScript developer who is skilled with Vue.js. Your primary focus will be developing user-facing web applications and components. You’ll implement them with the Vue.js framework, following generally accepted practices and workflows. You will ensure that you produce robust, secure, modular, and maintainable code. You will coordinate with other team members, including back-end developers. Your commitment to team collaboration, perfect communication, and a quality product is crucial.

Responsibilities

    Developing user-facing applications using Vue.js
    Building modular and reusable components and libraries
    Optimizing applications for performance
    Implementing automated testing integrated into development and maintenance workflows
    Staying up-to-date with all recent developments in the JavaScript and Vue.js space
    Keeping an eye on security updates and issues found with Vue.js and all project dependencies
    Proposing any upgrades and updates necessary for keeping up with modern security and development best practices
    Participating in UX Design
    Participating in API Design

Skills

    Highly proficient with the JavaScript language and its modern ES6+ syntax and features
    Knowledge with Vue.js framework and its core principles such as components, reactivity, and the virtual DOM
    Familiarity with the Vue.js ecosystem, including Vue CLI, Vuex, Vue Router, and 
    Good understanding of HTML5 and CSS3, including Sass/Less.
    Understanding of server-side rendering and its benefits and use cases
    Knowledge of functional programming and object-oriented programming paradigms
    Ability to write efficient, secure, well-documented, and clean JavaScript code
    Familiarity with automated JavaScript testing.
    Proficiency with modern development tools and code versionning.
    Experience with both consuming and designing RESTful APIs, knowledge of GraphQL Apis is an advantage. 


We value attitude, adaptability and aptitude over experience, if you do not have the experience outlined but think you can do this role tell us why you should be considered in your application.


If you correspond to the required profile, please contact us via our email address:
"""",  mention in the subject line: "" Front-end web developer""
",,2021-09-26T15:34:24.000000Z,Kouba,Not specified,"Highly proficient with the JavaScript language and its modern ES6+ syntax and features, Knowledge with Vue.js framework and its core principles such as components, reactivity, and the virtual DOM, Familiarity with the Vue.js ecosystem, including Vue CLI, Vuex, Vue Router, and, Good understanding of HTML5 and CSS3, including Sass/Less., Understanding of server-side rendering and its benefits and use cases, Knowledge of functional programming and object-oriented programming paradigms, Ability to write efficient, secure, well-documented, and clean JavaScript code, Familiarity with automated JavaScript testing., Proficiency with modern development tools and code versionning., Experience with both consuming and designing RESTful APIs, knowledge of GraphQL Apis is an advantage., We value attitude, adaptability and aptitude over experience, if you do not have the experience outlined but think you can do this role tell us why you should be considered in your application., If you correspond to the required profile, please contact us via our email address:, """",  mention in the subject line: "" Front-end web developer""","Developing user-facing applications using Vue.js, Building modular and reusable components and libraries, Optimizing applications for performance, Implementing automated testing integrated into development and maintenance workflows, Staying up-to-date with all recent developments in the JavaScript and Vue.js space, Keeping an eye on security updates and issues found with Vue.js and all project dependencies, Proposing any upgrades and updates necessary for keeping up with modern security and development best practices, Participating in UX Design, Participating in API Design"
43315635,Responsable de service ,"Société basée en Afrique subsaharienne qui est un acteur majeur dans le secteur des services internet pour les professionnels recrute pour un poste en expatriation un responsable junior

Description du poste :
En tant que Responsable Junior du Service de Hotline, vous aurez pour mission de superviser une équipe de conseillers, d'assurer la qualité du service rendu et de veiller à la satisfaction des utilisateurs. Vous travaillerez en étroite collaboration avec les équipes techniques et ingénieurs et les autres départements pour résoudre les problèmes et améliorer l'expérience client.

Missions principales :
Monitoring
Encadrer et former une équipe de conseillers hotline.
Assurer le suivi des demandes clients et la résolution des problèmes techniques.
Analyser les indicateurs de performance et mettre en place des actions d'amélioration.
Élaborer et mettre à jour la documentation et les procédures internes.
Participer à la gestion des escalades et aux situations complexes.
Collaborer avec les équipes techniques pour garantir une compréhension parfaite des produits et services offerts.

Profil recherché :
Diplôme Bac +2 minimum, de préférence dans le domaine de l'informatique, de la relation client, ou des télécommunications.
Expérience en gestion de service client ou en hotline, même en stage ou alternance.
Excellentes compétences en communication et capacité à travailler en équipe.
Sens de l'écoute, réactivité et esprit d'analyse.
Maîtrise des outils informatiques et expérimenté dans l'utilisation de logiciels de gestion de la relation client.

Ce que nous offrons :
Salaire motivant
Logement de fonction
Véhicule de service
Un billet d'avion aller-retour par an
Prise en charge des frais médicaux
Un environnement dynamique et stimulant.
Des possibilités d’évolution au sein de l’entreprise.
Une formation continue et des opportunités de développement professionnel.
Une ambiance de travail conviviale et axée sur le bien-être des employés.
Si vous êtes passionné par le service client et souhaitez rejoindre une entreprise en pleine expansion, envoyez votre CV  [afriquerecrutement17@gmail.com] avec la référence ""Responsable Junior Hotline"" dans l'objet.

",,2024-08-16T08:53:57.495964Z,Niger,Not specified,"Diplôme Bac +2 minimum, de préférence dans le domaine de l'informatique, de la relation client, ou des télécommunications., Expérience en gestion de service client ou en hotline, même en stage ou alternance., Excellentes compétences en communication et capacité à travailler en équipe., Sens de l'écoute, réactivité et esprit d'analyse., Maîtrise des outils informatiques et expérimenté dans l'utilisation de logiciels de gestion de la relation client., Ce que nous offrons :, Salaire motivant, Logement de fonction, Véhicule de service, Un billet d'avion aller-retour par an, Prise en charge des frais médicaux, Un environnement dynamique et stimulant., Des possibilités d’évolution au sein de l’entreprise., Une formation continue et des opportunités de développement professionnel., Une ambiance de travail conviviale et axée sur le bien-être des employés., Si vous êtes passionné par le service client et souhaitez rejoindre une entreprise en pleine expansion, envoyez votre CV  [afriquerecrutement17@gmail.com] avec la référence ""Responsable Junior Hotline"" dans l'objet.","Monitoring, Encadrer et former une équipe de conseillers hotline., Assurer le suivi des demandes clients et la résolution des problèmes techniques., Analyser les indicateurs de performance et mettre en place des actions d'amélioration., Élaborer et mettre à jour la documentation et les procédures internes., Participer à la gestion des escalades et aux situations complexes., Collaborer avec les équipes techniques pour garantir une compréhension parfaite des produits et services offerts."
43497229,societe prive cherche ingenieur en informatique ,societe prive cherche ingenieur en informatique ,,2024-08-26T11:06:39.195730Z,Dely brahim,Not specified,,
43496551,Infographiste ,,,2024-08-26T10:45:36.711927Z,Larbaa,Not specified,,
43298880,Filmmakeur & graphique design,"Nous recherchons quelqu'un de passionné et créatif, avec les compétences suivantes :

Maîtrise des logiciels de montage vidéo (comme Adobe Premiere Pro, Final Cut Pro) et de graphisme (comme Adobe Photoshop, Illustrator).
Expérience dans la production audiovisuelle et la manipulation d'équipements de tournage serait un plus.
Capacité à travailler de manière autonome, tout en étant un membre efficace de l'équipe.
Flexibilité pour s'adapter à différents types de projets et tâches.

Envoyer votre CV par email: 

",,2024-08-15T10:11:25.600465Z,Cheraga,Not specified,,
43332692,Gérant Cyber ,"سلام نحوس على واحد ايكون سيريو في خدمة و متمكن في الإعلام الالي معليش خبرة تكون قصيرة ميهمش 
ايكون من ليزونفيرو نتاع الحراش بلفور بوليو و لا كوريفة  من غير هدا المكان غير مقبول 
للمهتمين فقط و لناس لي تحب تخدم و شكرا
أوقـــــات العــــمـــل من 13مساء إلـــــى غـــــايـــــة ثامنة مساءا  
لــــمـن يـــهــــمـــه الأمــــــر الإتـــــصـــال بي و شـــــكــــرا ",,2024-08-17T08:58:26.932919Z,El harrach,Not specified,,
37421009,Chargé E-Commerce,"تعلن شركة ليدر ألمنيوم عن فتح أبواب التوظيف في منصب:
⬅ مكلف بالتسويق الالكتروني ➡

متطلبات المنصب:
✅ شهادة في مجال التسويق (Marketing)
✅ معرفة جيدة بمجال التسويق الالكتروني
✅ التحكم الجيد بتقنيات التواصل على الانترنت
✅ خبرة سنة في المنصب (E-Commerce)
✅ إتقان اللغة الفرنسية

📍 مكان العمل : بن شوبان - الرويبة - الجزائر
",,2023-08-27T10:26:24.182241Z,Rouiba,Not specified,,
39133605,Gérant Cyber Café ,"سسلام نحوس على واحد ايكون سيريو في خدمة و متمكن في الإعلام الالي معليش خبرة تكون قصيرة ميهمش 
ايكون من ليزونفيرو نتاع الحراش بلفور بوليو و لا كوريفة  من غير هدا المكان غير مقبول 
للمهتمين فقط و لناس لي تحب تخدم و شكرا
أوقـــــات العــــمـــل من 13مساء إلـــــى غـــــايـــــة ثامنة مساءا  
لــــمـن يـــهــــمـــه الأمــــــر الإتـــــصـــال بي و شـــــكــــرا ",,2023-12-31T08:52:48.386759Z,El harrach,Not specified,,
43479337,Informaticien ,"Cyber Café El Achour (CYBER INFO NED), cherche écrivain publique qualifiées, maitrise bien l'outils informatiques. ",,2024-08-25T14:58:33.376354Z,El achour,Not specified,,
40301950,Commercial dans un magasin d'informatique,"MAGASIN INFORMATIQUE CHERCHE un vendeur (HOMME) QUI MAITRISE (les environ rouiba reghaia boudouaou ) : 
-MAINTENANCE INFORMATIQUE
-VENTE POUR PUBLIC
-GERER LA FACTURATION
-REPONDRE AU CAHIER DE CHARGE
envoyer vos cv a l'adresse suivante : ",30000.0,2024-03-18T08:34:53.105035Z,Reghaia,Not specified,,
43475824,coordinateur des OPS,"Nous somme une société de catering située a HASSI MESSAOUD , Nous cherchons des coordinateur des opérations pour travailler au niveau du siège.",66000.0,2024-08-25T12:53:06.996279Z,Batna,Not specified,,
43473703,Demande d'emploi : Ingénieur en Réseaux et Télécommunications,Très motivé avec une formation solide. A la recherche d'une opportunité pour mettre à profit mes connaissances théoriques et mon expérience pratique dans un milieu professionnel dynamique.,,2024-08-25T11:34:53.261221Z,Oued sly,Not specified,,
43379036,Unity3d developer ,"We are looking for unity3d developer with a good knowledge in Linux and desktop app development 
who is interested please send your portfolio or all the projects that you've done 
",,2024-08-20T08:10:41.792400Z,Bab ezzouar,Not specified,,
40328314,gerant cyber cafe SOIR,"Magasin d'impression et de photocopie cherche un gérant :
agent de saisie / gerant cyber cafe
*******************
âge : 20-25
horaire : 11h->19h
sexe : homme
adresse : bouzareah
Compétence : office , pdf , impression , internet
********************

Salaire : selon compétences
************************
ou envoyez votre cv sur l'adresse mail . merci .

 
",,2024-03-19T14:39:05.089804Z,Bouzareah,Not specified,,
43387152,Vendeur dans un magasin d informatique ,"Une boutique specialisée dans le domaine d'informatique, les produits de caisse et les logiciels de gestion, recrute un technicien vendeur.
Nous exigeons les critères suivants:
-Experience dans le domaine d'infomatique.
-Maitrise l'outil informatique hard et soft
(Windows ,Photoshop, Réseau, WordPress.
imprimante).
-Expérience dans la réparation ( formatage , installation de Windows, installation d'imprimante, installation de réseau...) veuillez nous envoyer vos curriculum vitae par e-mail merci.
lieux de travail : les castors",,2024-08-20T15:55:00.298713Z,Oran,Not specified,,
39671507,Ingénieur d'état en informatique,Une société d'assurance cherche un Ingénieur d'état en informatique option systèmes d'informations ayant un minimum de deux ans d'experience,,2024-02-11T10:11:05.349569Z,Birkhadem,Not specified,,
39262137,TS / Technicien Programmeur ,"TS / Technicien Programmeur en Informatique
Maintenance Hard et Soft
Tres bonne maîtrise de l'outils informatique 
",,2024-01-11T08:27:08.221115Z,Reghaia,Not specified,,
43466236,Développeur Python Junior,"Nous recherchons un Développeur Python débutant/junior pour rejoindre notre équipe à El Mouradia, Alger, Algérie. Le candidat idéal devra avoir un niveau d'étude minimum de Master 1 et être passionné par l'informatique et les systèmes d'information.

Responsabilités

Développer et maintenir des applications en Python

Participer à la conception et à l'architecture des solutions logicielles

Collaborer avec les équipes techniques pour assurer la qualité et la performance des applications

Exigences

Maîtrise de Python

Capacité à travailler en équipe et à communiquer efficacement

Curiosité et volonté d'apprendre de nouvelles technologies

Avantages

Nous offrons un environnement de travail dynamique et stimulant, des opportunités de formation continue et de développement professionnel, ainsi qu'une rémunération compétitive.",50000.0,2024-08-25T03:37:05.648540Z,El mouradia,Not specified,"Maîtrise de Python, Capacité à travailler en équipe et à communiquer efficacement, Curiosité et volonté d'apprendre de nouvelles technologies, Avantages, Nous offrons un environnement de travail dynamique et stimulant, des opportunités de formation continue et de développement professionnel, ainsi qu'une rémunération compétitive.","Développer et maintenir des applications en Python, Participer à la conception et à l'architecture des solutions logicielles, Collaborer avec les équipes techniques pour assurer la qualité et la performance des applications"
43466221,Secrétaire ,Connaissance en informatique ,,2024-08-25T03:28:29.820039Z,Ain benian,Not specified,,
43460528,Graphiste ,On cherche une / un graphiste sur alger (mohammadia) ,,2024-08-24T18:10:49.872900Z,Mohammadia,Not specified,,
43112709,Maintenance informatique ,"Recrutement :

Cherche pour notre magasin de vente de produits informatique (Tassili Computer) :
Technicien (ne) supérieur en électronique ou maintenance informatique
- Lieu de travail : Dar El Beida
- Veuillez envoyer vos CV par email
Merci",40000.0,2024-08-06T21:52:42.008708Z,Dar el beida,Not specified,,
40562054,Informatique ,"البحث عن عامل يكون لديه خبرة في الإعلام الآلي 
A la recherche d'une employé qui maîtrise les base de l'informatique 

",40000.0,2024-04-03T12:10:53.703419Z,Es senia,Not specified,,
42819316,IT Help desk - Maintenance Hardware/Soft Laptop/PC,"Informatics est à la recherche d'un « ingénieur informaticien » passionné, cultivé et curieux d'expérimenter et de découvrir de nouveaux horizons.


Responsabilités Principales /MISSION/ :

- Diagnostics et réparation matériels, PC de bureau, Laptop...
- Montage PC et ajout des composants....
- installation différent systéme d'exploitation et logiciels...
- Entretien et maintenance.
- Installation des réseaux (internet câble et Wifi).
-Assure la gestion des tickets de demandes d’assistance IT (attribution, priorité, …)
- Assistance technique (Déplacement) pour les clients aussi bien par téléphone et par internet.


Compétences Requises :

Connaissances aux Framework IT.
Bonnes connaissances aux systèmes d’exploitation Windows (7,10,11 …)
Bonnes connaissances aux outils bureautique (Office, Adobe, compression données, …)
Bonnes connaissances aux concepts basique des réseaux informatique (adressage IP, câblage, troubleshooting initial des problèmes réseaux, …)
Motivé, initiateur, avoir une attitude positive
Être capable de travailler sous pression, seul (autonome) et en équipe (esprit collaboratif).
Organisé et capable de gérer les priorités dans un environnement stressant
Maitrise les langues arabe, français et anglais technique
",,2024-07-23T08:36:08.922002Z,Dar el beida,Not specified,"Connaissances aux Framework IT., Bonnes connaissances aux systèmes d’exploitation Windows (7,10,11 …), Bonnes connaissances aux outils bureautique (Office, Adobe, compression données, …), Bonnes connaissances aux concepts basique des réseaux informatique (adressage IP, câblage, troubleshooting initial des problèmes réseaux, …), Motivé, initiateur, avoir une attitude positive, Être capable de travailler sous pression, seul (autonome) et en équipe (esprit collaboratif)., Organisé et capable de gérer les priorités dans un environnement stressant, Maitrise les langues arabe, français et anglais technique","- Diagnostics et réparation matériels, PC de bureau, Laptop..., - Montage PC et ajout des composants...., - installation différent systéme d'exploitation et logiciels..., - Entretien et maintenance., - Installation des réseaux (internet câble et Wifi)., -Assure la gestion des tickets de demandes d’assistance IT (attribution, priorité, …), - Assistance technique (Déplacement) pour les clients aussi bien par téléphone et par internet."
